1|30.05.16|1|2|3|4|5|6|7|8|9|10|11|12
2|07.06.16|4|5|2|6|8|10|9|11|1|7|3|12
3|14.06.16|3|9|1|10|4|11|6|7|2|8|5|12
4|21.06.16|3|1|8|5|2|9|4|10|6|11|7|12
5|27.07.16|8|11|7|9|4|2|6|3|5|1|10|12
6|28.08.16|6|10|1|11|8|3|5|9|4|7|2|12
7|05.09.16|7|5|3|11|2|10|1|9|6|8|4|12
8|01.10.16|8|1|5|10|7|11|4|6|2|3|9|12
9|07.10.16|1|6|2|11|7|10|3|5|4|9|8|12
10|17.10.16|10|3|8|9|1|4|2|7|5|11|6|12
11|27.10.16|4|8|3|7|6|9|10|11|2|5|1|12
12|01.11.16|5|6|1|2|9|10|3|4|7|8|11|12
13|07.11.16|7|1|4|5|8|10|2|6|9|11|3|12
14|17.11.16|4|11|3|9|6|7|1|10|2|8|5|12
15|22.11.16|2|9|6|11|1|3|5|8|4|10|7|12
16|01.12.16|2|4|8|11|1|5|7|9|3|6|10|12
17|07.12.16|3|8|6|10|5|9|1|11|4|7|2|12
18|17.12.16|2|10|5|7|3|11|6|8|1|9|4|12
19|27.12.16|7|11|2|3|1|8|5|10|4|6|9|12
20|01.01.17|4|9|1|6|7|10|2|11|3|5|8|12
21|07.01.17|1|4|3|10|5|11|8|9|2|7|6|12
22|17.01.17|6|9|4|8|2|5|3|7|10|11|1|12
